,speech
246,"{'sdr': 5.09779155254364, 'r2': 0.7638325244188309, 'rmse': 0.031268742}"
247,"{'sdr': 3.0994611978530884, 'r2': 0.6712129712104797, 'rmse': 0.039357457}"
248,"{'sdr': 6.765392422676086, 'r2': 0.8260357528924942, 'rmse': 0.025806574}"
249,"{'sdr': 6.5513622760772705, 'r2': 0.8188404440879822, 'rmse': 0.026450379}"
250,"{'sdr': 3.665633797645569, 'r2': 0.699315994977951, 'rmse': 0.036873836}"
251,"{'sdr': 0.04120591562241316, 'r2': 0.5023728013038635, 'rmse': 0.055967998}"
252,"{'sdr': 4.124490022659302, 'r2': 0.721052885055542, 'rmse': 0.034976434}"
253,"{'sdr': 2.518559992313385, 'r2': 0.6410488486289978, 'rmse': 0.042079635}"
254,"{'sdr': 3.3318787813186646, 'r2': 0.6829124689102173, 'rmse': 0.038318288}"
255,"{'sdr': 2.8570005297660828, 'r2': 0.6587750911712646, 'rmse': 0.040471565}"
256,"{'sdr': 2.620542049407959, 'r2': 0.6464342474937439, 'rmse': 0.04158847}"
257,"{'sdr': 3.80863755941391, 'r2': 0.7061940133571625, 'rmse': 0.03627172}"
258,"{'sdr': 5.141428709030151, 'r2': 0.7656379342079163, 'rmse': 0.031112045}"
259,"{'sdr': 6.949822902679443, 'r2': 0.8320538848638535, 'rmse': 0.025264394}"
260,"{'sdr': 5.948113203048706, 'r2': 0.7973160296678543, 'rmse': 0.028352698}"
261,"{'sdr': 2.073409855365753, 'r2': 0.6171384453773499, 'rmse': 0.044292435}"
262,"{'sdr': 4.813157618045807, 'r2': 0.7518063634634018, 'rmse': 0.03231039}"
263,"{'sdr': 5.357310175895691, 'r2': 0.7744419723749161, 'rmse': 0.030348312}"
264,"{'sdr': 4.841112792491913, 'r2': 0.7530064284801483, 'rmse': 0.032206565}"
265,"{'sdr': 5.0812214612960815, 'r2': 0.7631442695856094, 'rmse': 0.03132845}"
266,"{'sdr': 3.371298909187317, 'r2': 0.6848736107349396, 'rmse': 0.03814478}"
267,"{'sdr': 4.693823456764221, 'r2': 0.746643990278244, 'rmse': 0.032757357}"
268,"{'sdr': 2.4322573840618134, 'r2': 0.6364634931087494, 'rmse': 0.042499825}"
269,"{'sdr': 2.977040112018585, 'r2': 0.6649631559848785, 'rmse': 0.03991609}"
270,"{'sdr': 3.7174999713897705, 'r2': 0.701821357011795, 'rmse': 0.03665431}"
271,"{'sdr': 6.590967178344727, 'r2': 0.8201886266469955, 'rmse': 0.026330048}"
272,"{'sdr': 4.845815598964691, 'r2': 0.7532069236040115, 'rmse': 0.032189135}"
273,"{'sdr': 5.653748512268066, 'r2': 0.7861419320106506, 'rmse': 0.029330036}"
274,"{'sdr': 3.117821514606476, 'r2': 0.672143280506134, 'rmse': 0.039274346}"
275,"{'sdr': 1.7401961982250214, 'r2': 0.5988602042198181, 'rmse': 0.046024617}"
276,"{'sdr': 3.881561756134033, 'r2': 0.7096659243106842, 'rmse': 0.035968464}"
277,"{'sdr': 9.924953579902649, 'r2': 0.9076527655124664, 'rmse': 0.017937103}"
278,"{'sdr': 5.863471031188965, 'r2': 0.7941483110189438, 'rmse': 0.028630339}"
279,"{'sdr': 7.864387035369873, 'r2': 0.8594639003276825, 'rmse': 0.022739485}"
280,"{'sdr': 4.7172752022743225, 'r2': 0.7476640045642853, 'rmse': 0.032669034}"
281,"{'sdr': 7.9163044691085815, 'r2': 0.8609015494585037, 'rmse': 0.022603972}"
282,"{'sdr': 3.4268510341644287, 'r2': 0.6876286566257477, 'rmse': 0.03790159}"
283,"{'sdr': 2.2596509754657745, 'r2': 0.6272174417972565, 'rmse': 0.043352835}"
284,"{'sdr': 3.4309664368629456, 'r2': 0.6878332793712616, 'rmse': 0.03788364}"
285,"{'sdr': 1.5362083911895752, 'r2': 0.5875203013420105, 'rmse': 0.047118295}"
286,"{'sdr': 4.275003373622894, 'r2': 0.7279714941978455, 'rmse': 0.034375567}"
287,"{'sdr': 4.08113569021225, 'r2': 0.7190422415733337, 'rmse': 0.03515145}"
288,"{'sdr': 3.879863917827606, 'r2': 0.7095852792263031, 'rmse': 0.0359755}"
